número_da_consulta,número_do_documento,ordem_no_ranking,score
1,['clueweb22-pt0000-78-09747_0'],1,0,91
1,['clueweb22-pt0000-96-07278_111'],2,0,9
1,['clueweb22-pt0001-85-06153_3'],3,0,89
1,['clueweb22-pt0000-64-06285_35'],4,0,88
1,['clueweb22-pt0000-87-13049_0'],5,0,87
1,['clueweb22-pt0001-80-10436_9'],6,0,86
9,['clueweb22-pt0000-15-09528_8'],1,0,91
9,['clueweb22-pt0000-13-06970_10'],2,0,9
9,['clueweb22-pt0000-90-05455_11'],3,0,89
9,['clueweb22-pt0001-95-11122_0'],4,0,88
9,['clueweb22-pt0000-46-05189_296'],5,0,87
9,['clueweb22-pt0001-19-05098_2'],6,0,86
