número_da_consulta,número_do_documento,ordem_no_ranking,score
1,clueweb22-pt0000-78-09747_0,1,9.232854
1,clueweb22-pt0001-72-10644_7,2,7.809435
1,clueweb22-pt0000-55-02859_0,3,7.343407
1,clueweb22-pt0000-17-01578_0,4,7.22307
1,clueweb22-pt0001-71-01992_0,5,7.143955
1,clueweb22-pt0001-27-18363_5,6,7.1140285
1,clueweb22-pt0001-85-06153_3,7,7.043692
1,clueweb22-pt0000-14-07971_2,8,6.9233584
1,clueweb22-pt0001-42-08363_12,9,6.8972325
1,clueweb22-pt0000-69-05954_7,10,6.8928275
1,clueweb22-pt0000-62-17192_0,11,6.8133454
1,clueweb22-pt0000-13-06867_7,12,6.793091
1,clueweb22-pt0000-49-09984_1,13,6.757802
1,clueweb22-pt0001-43-10714_1,14,6.6811004
1,clueweb22-pt0000-99-07842_137,15,6.6777186
1,clueweb22-pt0001-57-00637_4,16,6.649238
1,clueweb22-pt0001-90-04014_0,17,6.45615
1,clueweb22-pt0001-20-03905_2,18,6.422934
1,clueweb22-pt0001-34-13243_9,19,6.3204064
1,clueweb22-pt0001-09-17476_11,20,6.305211
1,clueweb22-pt0000-47-09694_0,21,6.230201
1,clueweb22-pt0000-75-03094_1,22,6.1588035
1,clueweb22-pt0000-73-10061_13,23,6.1523137
1,clueweb22-pt0000-19-15314_3,24,6.1348844
1,clueweb22-pt0000-55-12305_1,25,6.133487
1,clueweb22-pt0001-67-10303_166,26,6.106526
1,clueweb22-pt0001-12-19001_0,27,6.1040173
1,clueweb22-pt0001-46-11754_0,28,6.0992455
1,clueweb22-pt0000-87-14633_2,29,6.0588036
1,clueweb22-pt0000-36-15012_1,30,6.036026
1,clueweb22-pt0002-07-02323_1,31,6.025423
1,clueweb22-pt0001-80-00867_2,32,5.993796
1,clueweb22-pt0001-77-01947_0,33,5.9850082
1,clueweb22-pt0002-01-16686_5,34,5.968403
1,clueweb22-pt0000-98-11247_5,35,5.9636693
1,clueweb22-pt0000-96-18802_3,36,5.9377465
1,clueweb22-pt0000-33-15222_2,37,5.9358087
1,clueweb22-pt0001-55-13881_2,38,5.917688
1,clueweb22-pt0001-31-01225_1,39,5.9144354
1,clueweb22-pt0001-59-10493_9,40,5.9137764
1,clueweb22-pt0001-27-00400_88,41,5.850425
1,clueweb22-pt0000-48-06313_3,42,5.838697
1,clueweb22-pt0002-27-00051_16,43,5.83714
1,clueweb22-pt0000-64-08526_161,44,5.8162966
1,clueweb22-pt0001-94-16316_44,45,5.8116097
1,clueweb22-pt0001-65-03185_2,46,5.806184
1,clueweb22-pt0001-49-12229_1,47,5.8036427
1,clueweb22-pt0000-41-17993_0,48,5.784637
1,clueweb22-pt0001-47-09592_2,49,5.7754183
1,clueweb22-pt0000-70-04635_2,50,5.7494173
1,clueweb22-pt0000-50-19546_7,51,5.7402925
1,clueweb22-pt0001-15-11561_15,52,5.737117
1,clueweb22-pt0001-22-17808_37,53,5.727943
1,clueweb22-pt0002-02-12453_0,54,5.7077103
1,clueweb22-pt0002-01-18728_116,55,5.7065372
1,clueweb22-pt0000-17-01771_1,56,5.698539
1,clueweb22-pt0000-39-09588_3,57,5.694221
1,clueweb22-pt0000-18-04826_1,58,5.694035
1,clueweb22-pt0001-37-02639_2,59,5.6812882
1,clueweb22-pt0000-27-10836_1,60,5.675963
1,clueweb22-pt0000-46-06524_5,61,5.665888
1,clueweb22-pt0000-50-05471_6,62,5.660027
1,clueweb22-pt0000-00-15315_1,63,5.6569657
1,clueweb22-pt0001-82-07865_0,64,5.6546454
1,clueweb22-pt0001-25-08581_0,65,5.630659
1,clueweb22-pt0000-36-18929_1,66,5.630259
1,clueweb22-pt0000-20-17173_10,67,5.6143947
1,clueweb22-pt0000-83-10130_0,68,5.607037
1,clueweb22-pt0001-35-10105_0,69,5.605033
1,clueweb22-pt0000-03-03120_0,70,5.577766
1,clueweb22-pt0001-48-05490_1,71,5.5763826
1,clueweb22-pt0000-29-15583_2,72,5.57287
1,clueweb22-pt0002-00-19371_8,73,5.564364
1,clueweb22-pt0000-92-13235_3,74,5.5626693
1,clueweb22-pt0001-60-14853_1,75,5.561003
1,clueweb22-pt0000-83-05539_0,76,5.558253
1,clueweb22-pt0000-04-21032_77,77,5.5581484
1,clueweb22-pt0000-96-07278_111,78,5.5523047
1,clueweb22-pt0001-56-19850_29,79,5.5492043
1,clueweb22-pt0001-86-11684_10,80,5.5399637
1,clueweb22-pt0001-19-10155_1,81,5.5388536
1,clueweb22-pt0001-33-06548_35,82,5.5353055
1,clueweb22-pt0000-91-16425_0,83,5.5275235
1,clueweb22-pt0000-81-10999_3,84,5.4873214
1,clueweb22-pt0000-63-02968_1,85,5.486798
1,clueweb22-pt0001-34-03898_110,86,5.4850254
1,clueweb22-pt0002-04-02452_15,87,5.449507
1,clueweb22-pt0001-48-09058_0,88,5.4469023
1,clueweb22-pt0001-70-14608_320,89,5.446318
1,clueweb22-pt0001-46-16136_18,90,5.4442143
