número_da_consulta,número_do_documento,ordem_no_ranking,score
1,clueweb22-pt0000-05-02747_0,1,8.652631
1,clueweb22-pt0001-72-10644_7,2,7.812463
1,clueweb22-pt0000-78-09747_0,3,7.6424456
1,clueweb22-pt0001-85-06153_3,4,7.3113627
1,clueweb22-pt0002-07-02323_1,5,7.3113627
1,clueweb22-pt0000-55-02859_0,6,7.279472
1,clueweb22-pt0000-55-02859_3,7,7.2129364
1,clueweb22-pt0001-77-01947_0,8,7.159891
1,clueweb22-pt0001-42-08363_12,9,7.134219
1,clueweb22-pt0001-71-01992_0,10,7.0002937
1,clueweb22-pt0000-17-01578_0,11,6.744445
1,clueweb22-pt0000-87-14633_2,12,6.738121
1,clueweb22-pt0001-27-18363_5,13,6.656294
1,clueweb22-pt0000-49-09984_1,14,6.4910965
1,clueweb22-pt0001-46-05303_17,15,6.443752
1,clueweb22-pt0000-62-17192_0,16,6.443752
1,clueweb22-pt0001-80-19581_0,17,6.441448
1,clueweb22-pt0000-69-05954_7,18,6.4146214
1,clueweb22-pt0001-43-10714_1,19,6.3311205
1,clueweb22-pt0000-99-07842_137,20,6.2955604
1,clueweb22-pt0001-57-00637_4,21,6.269508
1,clueweb22-pt0000-81-02542_1,22,6.2376566
1,clueweb22-pt0001-48-09058_0,23,6.1424665
1,clueweb22-pt0000-33-15222_2,24,6.1207075
1,clueweb22-pt0001-90-04014_0,25,6.1207066
1,clueweb22-pt0001-51-13333_1,26,6.095756
1,clueweb22-pt0000-13-06867_7,27,6.0614395
1,clueweb22-pt0001-09-17476_11,28,6.0495567
1,clueweb22-pt0000-75-03094_1,29,6.01168
1,clueweb22-pt0000-55-12305_1,30,5.9732666
1,clueweb22-pt0001-22-10778_11,31,5.891142
1,clueweb22-pt0001-55-13881_2,32,5.8904095
1,clueweb22-pt0000-36-15012_1,33,5.8576307
1,clueweb22-pt0001-16-17790_110,34,5.829458
1,clueweb22-pt0000-73-10061_13,35,5.791344
1,clueweb22-pt0001-12-19001_0,36,5.786948
1,clueweb22-pt0000-12-13616_8,37,5.782123
1,clueweb22-pt0001-17-09670_88,38,5.7619357
1,clueweb22-pt0000-19-15314_3,39,5.7410197
1,clueweb22-pt0001-47-09592_2,40,5.732375
1,clueweb22-pt0002-05-07353_19,41,5.714158
1,clueweb22-pt0001-56-15400_12,42,5.704618
1,clueweb22-pt0000-64-08526_161,43,5.6986256
1,clueweb22-pt0000-48-06313_3,44,5.691516
1,clueweb22-pt0000-28-14453_2,45,5.691516
1,clueweb22-pt0002-01-16686_5,46,5.691516
1,clueweb22-pt0000-70-04635_2,47,5.68513
1,clueweb22-pt0000-50-13521_0,48,5.68513
1,clueweb22-pt0001-67-10303_166,49,5.6423836
1,clueweb22-pt0001-27-00400_88,50,5.6115394
1,clueweb22-pt0000-75-16939_0,51,5.594864
1,clueweb22-pt0001-22-17808_37,52,5.5804996
1,clueweb22-pt0002-05-11733_0,53,5.576602
1,clueweb22-pt0000-27-10836_1,54,5.5601687
1,clueweb22-pt0001-94-16316_44,55,5.526431
1,clueweb22-pt0000-39-09588_3,56,5.5139694
1,clueweb22-pt0000-52-02663_2,57,5.511951
1,clueweb22-pt0001-61-02528_106,58,5.463237
1,clueweb22-pt0001-28-15716_1,59,5.463131
1,clueweb22-pt0001-37-02639_2,60,5.4613175
1,clueweb22-pt0000-17-01771_1,61,5.437686
1,clueweb22-pt0001-46-05303_24,62,5.434939
1,clueweb22-pt0000-25-01077_1,63,5.434939
1,clueweb22-pt0001-59-06472_23,64,5.434939
1,clueweb22-pt0001-90-12541_149,65,5.434939
1,clueweb22-pt0001-31-01225_1,66,5.4279156
1,clueweb22-pt0001-83-18298_0,67,5.4136977
1,clueweb22-pt0000-83-10130_0,68,5.383384
1,clueweb22-pt0000-14-07971_2,69,5.3811927
1,clueweb22-pt0000-00-15315_1,70,5.363081
1,clueweb22-pt0001-50-19424_10,71,5.362792
1,clueweb22-pt0001-65-03185_2,72,5.362792
1,clueweb22-pt0000-20-17173_10,73,5.361975
1,clueweb22-pt0000-98-10352_21,74,5.361975
1,clueweb22-pt0000-58-03929_11,75,5.352814
1,clueweb22-pt0000-50-19546_7,76,5.352814
1,clueweb22-pt0001-86-11684_10,77,5.352814
1,clueweb22-pt0001-90-04579_6,78,5.352814
1,clueweb22-pt0000-96-18802_3,79,5.352814
1,clueweb22-pt0001-25-08581_0,80,5.337874
1,clueweb22-pt0000-79-11035_0,81,5.337874
1,clueweb22-pt0000-04-21032_77,82,5.3153944
1,clueweb22-pt0000-92-13235_3,83,5.3153944
1,clueweb22-pt0001-83-17951_0,84,5.302132
1,clueweb22-pt0001-48-05490_1,85,5.302132
1,clueweb22-pt0001-35-10105_0,86,5.2978697
1,clueweb22-pt0001-92-01579_1,87,5.2884836
1,clueweb22-pt0000-96-07278_111,88,5.2879953
1,clueweb22-pt0001-13-10730_32,89,5.2859216
1,clueweb22-pt0001-33-02303_27,90,5.2859216
1,clueweb22-pt0000-05-07831_6,91,5.2806997
1,clueweb22-pt0000-83-05539_0,92,5.2806997
1,clueweb22-pt0002-01-18728_116,93,5.2806997
1,clueweb22-pt0001-61-14425_33,94,5.2677584
1,clueweb22-pt0001-73-06963_35,95,5.2635856
