número_da_consulta,número_do_documento,ordem_no_ranking,score
1,clueweb22-pt0000-78-09747_0,1,9.141924
1,clueweb22-pt0000-17-01578_0,2,8.941548
1,clueweb22-pt0000-87-14633_2,3,8.024377
1,clueweb22-pt0000-58-03929_11,4,7.642781
1,clueweb22-pt0000-55-02859_3,5,7.582358
1,clueweb22-pt0000-75-03094_1,6,7.4063106
1,clueweb22-pt0000-64-08526_161,7,7.153893
1,clueweb22-pt0001-22-17808_37,8,7.0919905
1,clueweb22-pt0000-45-12401_71,9,7.0903726
1,clueweb22-pt0000-17-01771_1,10,7.046015
1,clueweb22-pt0000-73-10061_13,11,6.769436
1,clueweb22-pt0000-05-02747_0,12,6.694979
1,clueweb22-pt0001-65-03185_2,13,6.636126
1,clueweb22-pt0001-50-19424_10,14,6.600031
1,clueweb22-pt0001-09-17476_11,15,6.5613823
1,clueweb22-pt0001-59-06472_23,16,6.5423656
1,clueweb22-pt0001-57-00637_4,17,6.4961476
1,clueweb22-pt0000-99-07842_137,18,6.3675857
1,clueweb22-pt0001-90-04579_6,19,6.36586
1,clueweb22-pt0001-61-14425_33,20,6.3460836
1,clueweb22-pt0001-55-13881_2,21,6.3360457
1,clueweb22-pt0001-17-17069_4,22,6.288846
1,clueweb22-pt0001-25-08581_0,23,6.2459555
1,clueweb22-pt0001-12-19001_0,24,6.23456
1,clueweb22-pt0000-60-18877_4,25,6.2259517
1,clueweb22-pt0000-36-15012_1,26,6.2238116
1,clueweb22-pt0001-72-10644_7,27,6.222744
1,clueweb22-pt0001-59-06472_29,28,6.206725
1,clueweb22-pt0001-32-18566_10,29,6.202123
1,clueweb22-pt0001-71-01992_0,30,6.19007
1,clueweb22-pt0001-77-01947_0,31,6.168423
1,clueweb22-pt0001-17-09670_88,32,6.090781
1,clueweb22-pt0001-34-11927_5,33,6.080424
1,clueweb22-pt0001-36-09624_1,34,6.066401
1,clueweb22-pt0001-92-11732_2,35,6.0647287
1,clueweb22-pt0002-05-07353_19,36,5.9658036
1,clueweb22-pt0001-85-06153_3,37,5.958662
1,clueweb22-pt0001-90-04014_0,38,5.956112
1,clueweb22-pt0000-69-04986_10,39,5.9557576
1,clueweb22-pt0001-47-09592_2,40,5.9315853
1,clueweb22-pt0001-64-09824_2,41,5.9301524
1,clueweb22-pt0001-27-00400_88,42,5.907916
1,clueweb22-pt0001-61-15089_1,43,5.8758183
1,clueweb22-pt0002-01-18728_116,44,5.875539
1,clueweb22-pt0001-56-15400_12,45,5.8747168
1,clueweb22-pt0002-05-11733_0,46,5.8643594
1,clueweb22-pt0001-47-04368_5,47,5.835303
1,clueweb22-pt0000-55-02859_0,48,5.8284135
1,clueweb22-pt0001-46-11754_0,49,5.8267126
1,clueweb22-pt0000-83-10130_0,50,5.8064156
1,clueweb22-pt0001-94-16316_44,51,5.7760673
1,clueweb22-pt0000-83-05539_0,52,5.745415
1,clueweb22-pt0000-53-03609_1,53,5.7296185
1,clueweb22-pt0000-96-07278_111,54,5.729113
1,clueweb22-pt0001-35-10105_0,55,5.702938
1,clueweb22-pt0000-38-15157_6,56,5.697075
1,clueweb22-pt0001-69-16890_2,57,5.6891932
1,clueweb22-pt0001-58-14940_0,58,5.670338
1,clueweb22-pt0001-92-01579_1,59,5.6691003
1,clueweb22-pt0000-14-07971_2,60,5.6181154
1,clueweb22-pt0001-34-03898_110,61,5.613439
1,clueweb22-pt0000-91-03809_4,62,5.597361
1,clueweb22-pt0001-10-13921_4,63,5.596084
1,clueweb22-pt0002-07-02323_1,64,5.590827
1,clueweb22-pt0001-33-02303_27,65,5.5293717
1,clueweb22-pt0000-05-07831_6,66,5.5226703
1,clueweb22-pt0001-13-10730_32,67,5.5091934
1,clueweb22-pt0002-00-09942_500,68,5.506938
1,clueweb22-pt0001-71-17117_2,69,5.5057077
1,clueweb22-pt0001-35-08956_3,70,5.5045633
1,clueweb22-pt0001-57-01965_3,71,5.49821
1,clueweb22-pt0000-86-12782_2,72,5.4929028
1,clueweb22-pt0001-59-06472_1,73,5.4777236
1,clueweb22-pt0001-41-11639_1,74,5.4625998
1,clueweb22-pt0000-24-01523_2,75,5.454507
1,clueweb22-pt0001-82-02048_3,76,5.449429
1,clueweb22-pt0001-27-00752_4,77,5.443102
1,clueweb22-pt0000-15-13760_57,78,5.4426694
1,clueweb22-pt0001-16-17790_74,79,5.4371953
1,clueweb22-pt0001-46-16136_18,80,5.4359303
1,clueweb22-pt0000-55-11554_15,81,5.428291
1,clueweb22-pt0001-84-10917_1,82,5.428053
1,clueweb22-pt0000-94-13135_93,83,5.420353
1,clueweb22-pt0000-98-00226_18,84,5.416712
1,clueweb22-pt0001-55-09070_19,85,5.416712
1,clueweb22-pt0001-46-05303_17,86,5.4149375
1,clueweb22-pt0000-62-17192_0,87,5.4124002
1,clueweb22-pt0002-02-00113_2,88,5.403143
1,clueweb22-pt0001-06-13647_3,89,5.402624
1,clueweb22-pt0001-81-08540_3,90,5.3922305
1,clueweb22-pt0000-61-04662_1,91,5.3845897
1,clueweb22-pt0001-48-05490_1,92,5.380403
1,clueweb22-pt0001-73-06963_35,93,5.369233
1,clueweb22-pt0001-96-01389_2,94,5.36187
1,clueweb22-pt0000-52-01517_21,95,5.350803
1,clueweb22-pt0001-60-01422_17,96,5.349345
1,clueweb22-pt0000-69-05954_7,97,5.348846
1,clueweb22-pt0000-28-07126_0,98,5.3481154
1,clueweb22-pt0002-44-00660_11,99,5.3360796
1,clueweb22-pt0000-13-16957_391,100,5.3345637
9,clueweb22-pt0002-00-06994_2,1,9.605963
9,clueweb22-pt0001-68-10685_0,2,8.966033
9,clueweb22-pt0002-16-00651_1,3,8.954456
9,clueweb22-pt0000-86-06698_41,4,8.896644
9,clueweb22-pt0001-08-11572_10,5,8.674246
9,clueweb22-pt0002-05-04185_1,6,8.650317
9,clueweb22-pt0001-51-05484_423,7,8.649192
9,clueweb22-pt0000-90-13787_4,8,8.257881
9,clueweb22-pt0000-53-12342_2,9,8.245745
9,clueweb22-pt0001-84-08743_155,10,8.204113
9,clueweb22-pt0000-27-05140_3,11,8.193685
9,clueweb22-pt0002-02-00901_0,12,8.088093
9,clueweb22-pt0000-79-12260_1,13,8.07982
9,clueweb22-pt0000-27-05140_2,14,8.018525
9,clueweb22-pt0001-40-02744_42,15,8.017835
9,clueweb22-pt0002-38-00517_0,16,8.002662
9,clueweb22-pt0001-09-09523_76,17,7.9726305
9,clueweb22-pt0001-18-16395_3,18,7.9372864
9,clueweb22-pt0001-48-15208_0,19,7.8825655
9,clueweb22-pt0000-71-06074_4,20,7.8524356
9,clueweb22-pt0000-86-04209_4,21,7.6916595
9,clueweb22-pt0000-02-01654_0,22,7.6857347
9,clueweb22-pt0001-28-17662_0,23,7.6834264
9,clueweb22-pt0001-06-03049_97,24,7.608233
9,clueweb22-pt0001-09-09523_64,25,7.5646152
9,clueweb22-pt0000-27-11577_1,26,7.5255547
9,clueweb22-pt0000-02-02276_9,27,7.511334
9,clueweb22-pt0001-52-00194_0,28,7.5032377
9,clueweb22-pt0000-68-16790_4,29,7.485518
9,clueweb22-pt0000-81-05956_8,30,7.484386
